id;name_ru;name_en;regula_code;elpost_code;epgu_code
2452;ОУФМС РОССИИ ПО САМАРСКОЙ ОБЛ В ОКТЯБРЬСКОМ РНЕ ГСАМАРА;;632-010;7940;
2467;ТП УФМС РОССИИ ПО САМАРСКОЙ ОБЛ В БОРСКОМ РНЕ;;632-025;7955;
2475;ОУФМС РОССИИ ПО САМАРСКОЙ ОБЛ В АВТОЗАВОДСКОМ РНЕ ГТОЛЬЯТТИ;;632-033;7963;
2668;ОМ УВД ЛЕНИНСКОГО РНА Г ЕКАТЕРИНБУРГА;;663-001;8276;
3006;ВЕРШИНОДАРАСУНСКОЕ ОМ ТУНГОКОЧЕНСКОГО РНА ЧИТИНСКОЙ ОБЛ;;753-009;8988;
3309;ОВД КУМТОРКАЛИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-049;9963;
3310;ОВД ДЕРБЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-050;9964;
3312;ОВД Г ДАГЕСТАНСКИЕ ОГНИ РЕСПУБЛИКИ ДАГЕСТАН;;052-052;9966;
3313;ОВД ДОКУЗПАРИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-053;9967;
3314;БЕЖТИНСКИЙ ПОМ ЦУНТИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-001;9968;
3315;БЕЛИДЖИНСКИЙ ПОМ ДЕРБЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-002;9969;
3316;ДУБКИНСКОЕ ПОМ Г КИЗИЛЮРТА РЕСПУБЛИКИ ДАГЕСТАН;;053-003;9970;
3317;КОЧУБЕЙСКОЕ ПОМ ТАРУМОВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-004;9971;
3318;МАМЕДКАЛИНСКОЕ ПОМ ДЕРБЕНТСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-005;9972;
3321;КАРАМАХИНСКОЕ ПОМ БУЙНАКСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-008;9975;
3342;ОФМС РОССИИ ПО РЕСПУБЛИКЕ ТЫВА;;170-000;9998;
3728;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ХАСАНСКОМ МУНИЦИПАЛЬНОМ РАЙОНЕ;;250-049;10052;
3888;ТП П ПАНГОДЫ УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В Г НАДЫМ;;890-015;9717;
3889;ТП В П ПУРПЕ УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ПУРОВСКОМ РНЕ;;890-016;9718;
3890;ТП В П УРЕНГОЙ УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ПУРОВСКОМ РНЕ;;890-017;9719;
3891;ТП В П ХАНЫМЕЙ УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ПУРОВСКОМ РНЕ;;890-018;9720;
3896;ТП П АКСАРКА МО УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АО В Г САЛЕХАРД;;890-029;9725;
3956;ОМ УВД ВЕРХИСЕТСКОГО РНА Г ЕКАТЕРИНБУРГА;;663-004;10301;
3974;ГУВД НИЖЕГОРОДСКОЙ ОБЛ;;521-001;10259;
3975;ОВД ШАХУНСКОГО РНА НИЖЕГОРОДСКОЙ ОБЛ;;522-059;10260;
4018;УВЕЛЬСКИЙ РОВД ЧЕЛЯБИНСКОЙ ОБЛ;;742-034;10367;
4315;ОВД П ЛОКОМОТИВНЫЙ ЧЕЛЯБИНСКОЙ ОБЛ;;742-051;127895;
4379;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ОРЕНБУРГСКОЙ ОБЛ В Г МЕДНОГОРСКЕ;;560-012;113499;
4462;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В П ШАМХАЛ;;050-055;127701;
4463;ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В КИЗЛЯРСКОМ РНЕ;;050-053;127702;
4464;ОТДЕЛ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ХАСАВЮРТОВСКОМ РНЕ;;050-054;127703;
4624;ТП 2 В Г БИЙСКЕ МЕЖРАЙОННОГО ОТДЕЛА 2 УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ;;220-077;127614;
4625;ТП 2 В Г РУБЦОВСКЕ МЕЖРАЙОННОГО ОТДЕЛА 10 УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ;;220-078;127615;
4641;ТП В ВАЛУЙСКОМ РНЕ МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г ВАЛУЙКИ;;310-012;127631;
4651;ОТДЕЛЕНИЕ 2 ОТДЕЛА УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г СТАРЫЙ ОСКОЛ;;310-021;127641;
4655;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ КАРЕЛИЯ В ПРИОНЕЖСКОМ РНЕ;;100-014;127751;
4656;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ КАРЕЛИЯ В ПИТКЯРАНТСКОМ РНЕ;;100-013;127752;
4672;ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ УФМС РОССИИ ПО РСОАЛАНИЯ;;150-001;127768;
4757;ТП В П ЗАПАДНОМ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В ОКТЯБРЬСКОМ РНЕ Г БАРНАУЛА;;220-075;119007;
4758;ТП В П ЮЖНОМ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ РНЕ Г БАРНАУЛА;;220-076;119008;
4761;УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ;;221-001;119020;
5028;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ВОЛГОГРАДСКОЙ ОБЛ В ЧЕРНЫШКОВСКОМ РНЕ ВОЛГОГРАДСКОЙ ОБЛ;;340-043;121740;
5055;МО УФМС РОССИИ ПО АМУРСКОЙ ОБЛ В ГБЕЛОГОРСКЕ;;280-003;119067;
5120;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТЮЛЯЧИНСКОМ РНЕ;;160-059;127589;
5121;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЧЕРЕМШАНСКОМ РНЕ;;160-060;127590;
5122;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЮТАЗИНСКОМ РНЕ;;160-061;127591;
5343;ОТДЕЛ УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В Г СЛАВГОРОДЕ;;220-046;128680;
5495;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ИРКУТСКОЙ ОБЛ В Г ТАЙШЕТЕ И ТАЙШЕТСКОМ РНЕ;;380-027;122548;
5558;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В АФАНАСЬЕВСКОМ РАЙОНЕ;;430-002;121179;
5559;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В БЕЛОХОЛУНИЦКОМ РАЙОНЕ;;430-003;121180;
5723;ТП ОФМС РОССИИ ПО ЧУКОТСКОМУ АВТОНОМНОМУ ОКРУГУ В БИЛИБИНСКОМ МУНИЦИПАЛЬНОМ РНЕ;;870-004;114555;
5725;ТП ОФМС РОССИИ ПО ЧУКОТСКОМУ АВТОНОМНОМУ ОКРУГУ В ПРОВИДЕНСКОМ МУНИЦИПАЛЬНОМ РНЕ;;870-006;114557;
5811;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЧЕЧЕНСКОЙ РЕСПУБЛИКЕ В СТАРОПРОМЫСЛОВСКОМ РНЕ Г ГРОЗНОГО;;200-006;117663;
5943;ТП В ПОС ВАХРУШИ ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ;;430-048;121417;
6089;ТП УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ШУРЫШКАРСКОМ РНЕ;;890-013;120120;
6090;ТП УФМС РОССИИ ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В КРАСНОСЕЛЬКУПСКОМ РНЕ;;890-014;120121;
6135;ОТДЕЛ УФМС РОССИИ ПО ТВЕРСКОЙ ОБЛ В ЗАВОЛЖСКОМ РНЕ Г ТВЕРИ;;690-001;116562;
6139;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ТВЕРСКОЙ ОБЛ В БЕЖЕЦКОМ РНЕ;;690-005;116566;
6163;ПОСТ ИММИГРАЦИОННОГО КОНТРОЛЯ ПЕТРОПАВЛОВСККАМЧАТСКИЙ АЭРОМОРПОРТ;;410-013;128058;
6198;ОТДЕЛ УФМС РОССИИ ПО ТВЕРСКОЙ ОБЛ В МОСКОВСКОМ РНЕ Г ТВЕРИ;;690-040;115652;
6349;МАЛЫШЕВСКОЕ ОМ АСБЕСТОВСКОГО ГОВД СВЕРДЛОВСКОЙ ОБЛ;;663-012;127979;
6352;РЕФТИНСКОЕ ОМ АСБЕСТОВСКОГО ГОВД СВЕРДЛОВСКОЙ ОБЛ;;663-013;127982;
6503;ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЦУНТИНСКОМ РАЙОЕНЕ;;050-047;114640;
6652;ТП В Г ЗАВОЛЖЬЕ ОТДЕЛА УФМС РОССИИ ПО НИЖЕГОРОДСКОЙ ОБЛ В ГОРОДЕЦКОМ РНЕ;;520-061;116398;
6655;БОГДАНОВИЧСКИЙ ОВД СВЕРДЛОВСКОЙ ОБЛ;;662-018;127922;
6662;КАМЕНСКУРАЛЬСКИЙ УВД СВЕРДЛОВСКОЙ ОБЛ;;662-025;127929;
6673;УВД Г НИЖНЕГО ТАГИЛА СВЕРДЛОВСКОЙ ОБЛ;;662-036;127940;
6703;ТЕРРИТОРИАЛЬНОЕ ОТДЕЛЕНИЕ В Г БИЙСКЕ МЕЖРАЙОННОГО ОТДЕЛА 2 УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ;;220-010;117534;
6715;ТП УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В СКРАСНОГОРСКОЕ;;220-022;117546;
6878;ОТДЕЛ УФМС РОССИИ ПО ОРЕНБУРГСКОЙ ОБЛ В Г БУЗУЛУКЕ;;560-011;115342;
6899;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ЯМАЛОНЕНЕЦКОМУ АВТОНОМНОМУ ОКРУГУ В ТАЗОВСКОМ РНЕ;;890-010;120047;
6901;УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН;;050-001;114851;
6902;ОУФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ЛЕНИНСКОМ РНЕ Г МАХАЧКАЛЫ;;050-002;114852;
7176;ТП В РОВЕНЬСКОМ РНЕ МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г ВАЛУЙКИ;;310-010;118250;
7178;ОТДЕЛЕНИЕ 1 МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г ВАЛУЙКИ;;310-012;118252;
7182;ТП В Г БЕЛГОРОД22 ОТДЕЛА УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г БЕЛГОРОД;;310-016;118256;
7187;ОТДЕЛЕНИЕ 2 МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г СТАРЫЙ ОСКОЛ;;310-021;118261;
7188;ТП В НОВООСКОЛЬСКОМ РНЕ МО УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ В Г АЛЕКСЕЕВКА;;310-022;118262;
7215;ОТДЕЛ УФМС РОССИИ ПО ЗАБАЙКАЛЬСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ РНЕ Г ЧИТЫ;;750-002;114384;
7277;ОТДЕЛ УФМС РОССИИ ПО ОРЕНБУРГСКОЙ ОБЛ В Г БУГУРУСЛАНЕ;;560-010;116697;
7420;ОТДЕЛ УФМС РОССИИ ПО СВЕРДЛОВСКОЙ ОБЛ В ОКТЯБРЬСКОМ РНЕ Г ЕКАТЕРИНБУРГА;;660-008;115875;
7466;ОТДЕЛ ПО ВОПРОСАМ ТРУДОВОЙ МИГРАЦИИ УФМС РОССИИ ПО САНКТПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ;;780-086;128516;
7606;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛЕБЯЖСКОМ РАЙОНЕ;;430-015;127226;
7607;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПИЖАНСКОМ РАЙОНЕ;;430-026;127227;
7608;ТП В ПОС СВЕЧА ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ КОТЕЛЬНИЧЕ;;430-029;127228;
7609;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СОВЕТСКОМ РАЙОНЕ;;430-031;127229;
7610;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В УНИНСКОМ РАЙОНЕ;;430-034;127230;
7786;ОВД СЕВЕРНОЕ МЕДВЕДКОВО ПС 2 Г МОСКВЫ;;772-134;127876;
7800;РАДУЖНИНСКОЕ ПОМ КИРОВОЧЕПЕЦКОГО РНА Г КИРОВА;;433-003;127565;
7801;2 ОМ УВД КИРОВСКОЙ ОБЛ;;433-013;127566;
7802;4 ОВД ОМУТНИНСКОГО РНА КИРОВСКОЙ ОБЛ;;433-014;127567;
7803;6 ОМ УВД КИРОВСКОЙ ОБЛАСТИ;;433-016;127568;
7860;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В АТНИНСКОМ РНЕ;;160-039;127244;
7866;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТЕТЮШСКОМ РНЕ;;160-058;127250;
7955;ОТДЕЛЕНИЕ МИЛИЦИИ 4 Г БРАТСКА ИРКУТСКОЙ ОБЛ;;383-004;128251;
8084;ТП УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ В Г СЕЛЬЦО;;320-027;128356;
8106;МЕЖРАЙОННЫЙ ОТДЕЛ 2 УФМС РОССИИ ПО САНКТПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ ОБСЛУЖИВАЕТ ПЕТРОДВОРЦОВЫЙ РН Г САНКТПЕТЕРБУРГА И ЛОМОНОСОВСКИЙ РН ЛЕНИНГРАДСКОЙ ОБЛ;;780-119;128378;
8471;МИГРАЦИОННЫЙ ПУНКТ УФМС РОССИ ПО ИРКУТСКОЙ ОБЛАСТИ В УСТЬУДИНСКОМ РАЙОНЕ С МЕСТОМ ДИСЛОКАЦИИ В ПОС УСТЬУДА;;380-043;129280;
8488;ОТДЕЛЕНИЕ УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В ТАРУМОВСКОМ РНЕ;;050-041;128439;
8530;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СВЕЧИНСКОМ РАЙОНЕ;;430-029;128737;
8533;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ТУЖИНСКОМ РАЙОНЕ;;430-033;128740;
8534;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В УНИНСКОМ РАЙОНЕ;;430-034;128741;
8535;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ШАБАЛИНСКОМ РАЙОНЕ;;430-037;128742;
8540;ОВД ЗАТО УГЛЕГОРСК АМУРСКОЙ ОБЛ;;282-026;128414;
8674;ТЕРРИТОРИАЛЬНЫЙ ПУНКТ УФМС РОССИИ ПО ТАМБОВСКОЙ ОБЛАСТИ В ИНЖАВИНСКОМ РАЙОНЕ;;680-012;127221;
8693;ТП УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В НОЛИНСКОМ РАЙОНЕ;;430-021;121280;
8694;ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ОМУТНИНСКОМ РАЙОНЕ;;430-022;121281;
8699;ОТДЕЛ УФМС РОССИИ ПО Г МОСКВЕ В ЮАО ОТДНИЕ ПО ВОПРОСАМ ГРАЖДАНСТВА РВП И ВЖ;;770-133;123392;
8777;ОТДЕЛ УФМС РОССИИ ПО ГМОСКВЕ В ЗЕЛЕНОГРАДЕ ОТДНИЕ ПО ВОПРОСАМ ГРАЖДАНСТВА РВП И ВЖ;;770-138;124776;
8789;ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В СЛОБОДСКОМ РАЙОНЕ;;430-030;121289;
8797;ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЮРЬЯНСКОМ РАЙОНЕ;;430-038;121297;
8798;ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ ЯРАНСКЕ;;430-039;121298;
8841;ТП ОФМС РОССИИ ПО ЧУКОТСКОМУ АВТОНОМНОМУ ОКРУГУ В ЧАУНСКОМ МУНИЦИПАЛЬНОМ РНЕ;;870-007;125587;
8842;ТП ОФМС РОССИИ ПО ЧУКОТСКОМУ АВТОНОМНОМУ ОКРУГУ В ЧУКОТСКОМ МУНИЦИПАЛЬНОМ РНЕ;;870-008;125588;
8915;ОВД БУЙНАКСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-051;3398;
9097;ТП 1 Г ОДИНЦОВО МОСКОВСКОЙ ОБЛАСТИ;;500-103;128143;
9098;ОМ ГОР ЕНИСЕЙСК4 КРАСНОЯРСКОГО КРАЯ;;243-013;128144;
9134;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ОМСКОЙ ОБЛ В РУССКОПОЛЯНСКОМ РНЕ;;550-030;125977;
9254;УФМС ПО СПЕТЕРБУРГУ И ЛЕНОБЛ;;780-086;124415;
9491;ОТДЕЛ УФМС РОССИИ ПО Г МОСКВЕ ПО РАЙОНУ ОБРУЧЕВСКИЙ;;770-120;128803;
9527;ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ГОРОДЕ КОТЕЛЬНИЧЕ;;430-013;121272;
9528;ОТДЕЛЕНИЕ УФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ПОСЕЛКЕ КУМЕНЫ;;430-014;121273;
9594;УВД ЦЕНТРАЛЬНОГО РНА Г ВОЛГОГРАДА;;342-008;127823;
13158;ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ УФМС РОССИИ ПО САНКТПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ;;780-086;127863;
13159;ОТДЕЛ ОБЕСПЕЧЕНИЯ ПАСПОРТНОЙ И РЕГИСТРАЦИОННОЙ РАБОТЫ УФМС РОССИИ ПО САНКТПЕТЕРБУРГУ И ЛЕНИНГРАДСКОЙ ОБЛ;;780-086;127864;
